gwas_id_1,gwas_id_2,n_snps,rg,pval,se,z,h2_obs_1,h2_obs_se_1,h2_int_1,h2_int_se_1,h2_obs_2,h2_obs_se_2,h2_int_2,h2_int_se_2,gcov_int,gcov_int_se,trait_abbreviation_1,trait_name_1,collection_1,trait_abbreviation_2,trait_name_2,collection_2
4461,4507,1167788,0.7938806652082531,6.874364895962817e-62,0.048,16.601,0.03941019386302287,0.0025231802900255408,1.0242224079833082,0.008056692933742836,0.023485628291582437,0.0021930309084048443,1.0210391230601468,0.00701913014491178,0.13455207255725465,0.0054596783306807475,back_pain,Self reported back pain,PAIN-3,Chronic_hip_pain_discovery_265K,Self reported chronic hip pain discovery 265K,PAIN-3
4462,4507,1167788,0.782919162717178,9.48188914452605e-54,0.051,15.435,0.034815843479840486,0.0023337090348213778,1.0191642326057389,0.007392878701060925,0.02348562829158208,0.002193863114253527,1.0210391230601479,0.006861059900875098,0.10431512794030394,0.005243969484728086,neck_pain,Self reported neck pain,PAIN-3,Chronic_hip_pain_discovery_265K,Self reported chronic hip pain discovery 265K,PAIN-3
4463,4507,1167788,0.49560345963755026,8.253339896747107e-05,0.126,3.937,0.00721617904646276,0.0018283585184278176,1.0037598059869073,0.006690764777948011,0.023485628291581927,0.0021785592335773793,1.0210391230601488,0.006853211986677884,0.03789858392465711,0.005254525027711614,facial_pain,Self reported facial pain,PAIN-3,Chronic_hip_pain_discovery_265K,Self reported chronic hip pain discovery 265K,PAIN-3
4464,4507,1167788,0.2738369873962482,1.3638918583920224e-08,0.048,5.678,0.04685799848450687,0.002806439179476044,1.0018298266303252,0.006730327025439352,0.023485628291581285,0.0021327537512393514,1.0210391230601508,0.007169029693195581,0.05791612809779919,0.00490432183579178,head_pain,Self reported head pain,PAIN-3,Chronic_hip_pain_discovery_265K,Self reported chronic hip pain discovery 265K,PAIN-3
4465,4507,1167788,1.01323030053051,1.971083380525416e-177,0.036,28.401,0.025120988486179066,0.002278797324505347,1.0190173637145097,0.0068072473191073445,0.023485628291581757,0.002167715953259074,1.0210391230601485,0.006704761196097589,0.5330269000833997,0.005532342214953819,hip_pain,Self reported hip pain,PAIN-3,Chronic_hip_pain_discovery_265K,Self reported chronic hip pain discovery 265K,PAIN-3
4466,4507,1167788,0.7704671601866351,8.820304003506794e-54,0.05,15.44,0.03930486657269853,0.002356982077098977,1.0187177618089573,0.007663513346421011,0.02348562829158219,0.002201654733215889,1.0210391230601474,0.007503146019065741,0.12808905305297721,0.005266810994553287,knee_pain,Self reported knee pain,PAIN-3,Chronic_hip_pain_discovery_265K,Self reported chronic hip pain discovery 265K,PAIN-3
4467,4507,1167788,0.6018759685001019,1.4748144102214403e-13,0.081,7.389,0.019760003658096187,0.0022644787277703114,1.013410540262976,0.007252177602317873,0.02348562829158249,0.00213885057531,1.021039123060147,0.0072933473833311935,0.050703373801654385,0.004882810996765196,stomach_pain,Self reported stomach pain,PAIN-3,Chronic_hip_pain_discovery_265K,Self reported chronic hip pain discovery 265K,PAIN-3
4461,4508,1167788,0.9935070493351211,0.0,0.025,40.209,0.03941019386302255,0.002607326507447277,1.0242224079833093,0.007958662976907631,0.042247708873609346,0.002742064682234833,1.0162750598488035,0.007421906915358305,0.47975270607226944,0.006312555712224863,back_pain,Self reported back pain,PAIN-3,Chronic_back_pain_discovery_2650K,Self reported chronic back pain discovery 265K,PAIN-3
4462,4508,1167788,0.83943987863393,1.9011606689217725e-122,0.036,23.532,0.03481584347984023,0.002185319025849974,1.0191642326057393,0.007277595905856857,0.04224770887360939,0.002507814198812637,1.0162750598488035,0.00720280142933769,0.1404006478441353,0.005038866894534659,neck_pain,Self reported neck pain,PAIN-3,Chronic_back_pain_discovery_2650K,Self reported chronic back pain discovery 265K,PAIN-3
4463,4508,1167788,0.5382366238799489,2.3124556015166427e-08,0.096,5.587,0.007216179046462765,0.0019190667909346252,1.0037598059869075,0.006944607348788013,0.04224770887360876,0.0027589660463815564,1.0162750598488055,0.007447643606218341,0.04346177145375402,0.004984730960135422,facial_pain,Self reported facial pain,PAIN-3,Chronic_back_pain_discovery_2650K,Self reported chronic back pain discovery 265K,PAIN-3
4464,4508,1167788,0.369834395217096,1.7871951969796454e-21,0.039,9.517,0.04685799848450596,0.0029205706118733683,1.0018298266303274,0.007144086532887493,0.042247708873608784,0.0025423530616320673,1.0162750598488064,0.007472286201079357,0.09031670256592567,0.0049310336134923485,head_pain,Self reported head pain,PAIN-3,Chronic_back_pain_discovery_2650K,Self reported chronic back pain discovery 265K,PAIN-3
4465,4508,1167788,0.7488998621117496,2.1749520716493875e-62,0.045,16.67,0.025120988486179194,0.002295690246195327,1.0190173637145101,0.006936984793510702,0.04224770887360933,0.002670738521874041,1.0162750598488042,0.00756164793421272,0.15204954890204278,0.005407410802302292,hip_pain,Self reported hip pain,PAIN-3,Chronic_back_pain_discovery_2650K,Self reported chronic back pain discovery 265K,PAIN-3
4466,4508,1167788,0.6074046008248436,2.53906615280153e-52,0.04,15.222,0.039304866572698924,0.002286235752557537,1.0187177618089553,0.007563416257708584,0.04224770887360887,0.002754756254278653,1.0162750598488053,0.0074147427992403234,0.11608512291298859,0.005426665731035834,knee_pain,Self reported knee pain,PAIN-3,Chronic_back_pain_discovery_2650K,Self reported chronic back pain discovery 265K,PAIN-3
4467,4508,1167788,0.5924468594349397,4.0657900329502957e-23,0.06,9.902,0.019760003658096707,0.002210204679342867,1.0134105402629734,0.0070363756954358505,0.04224770887360932,0.0027977751298437475,1.0162750598488035,0.0077649238719375326,0.07741999312948372,0.005040614384005326,stomach_pain,Self reported stomach pain,PAIN-3,Chronic_back_pain_discovery_2650K,Self reported chronic back pain discovery 265K,PAIN-3
4507,4508,1168023,0.7477139262517204,1.9914764725063594e-81,0.039,19.112,0.023503510207851283,0.0021314840565327176,1.0209932070260026,0.007092235756003172,0.04216296374364064,0.0026911751713971114,1.0166844252445226,0.00719423015842161,0.2744539543355925,0.005399854369300591,Chronic_hip_pain_discovery_265K,Self reported chronic hip pain discovery 265K,PAIN-3,Chronic_back_pain_discovery_2650K,Self reported chronic back pain discovery 265K,PAIN-3
4461,4509,1167788,0.9009913017899664,1.5134880176256112e-96,0.043,20.85,0.03941019386302274,0.0025667545414784767,1.024222407983309,0.008214848357845328,0.03172790378214212,0.0022181783353211817,1.0165518224152585,0.007124731437794026,0.12670769398718565,0.004827897428243553,back_pain,Self reported back pain,PAIN-3,Chronic_neck_pain_discovery_265K,Self reported chronic neck pain discovery 265K,PAIN-3
4462,4509,1167788,0.9704890905081904,3.950967116427224e-284,0.027,36.021,0.03481584347984149,0.002255870750258664,1.0191642326057349,0.006982459368066585,0.03172790378214304,0.002247784471961586,1.0165518224152548,0.007306019424755281,0.4899597879326198,0.005795331429969543,neck_pain,Self reported neck pain,PAIN-3,Chronic_neck_pain_discovery_265K,Self reported chronic neck pain discovery 265K,PAIN-3
4463,4509,1167788,0.6528210769889359,5.885122793044334e-09,0.112,5.82,0.007216179046462877,0.0018673441527654806,1.0037598059869073,0.0066681020560338,0.031727903782143276,0.0020990231559232645,1.016551822415255,0.006718327803014918,0.05939625144241434,0.004626014974715716,facial_pain,Self reported facial pain,PAIN-3,Chronic_neck_pain_discovery_265K,Self reported chronic neck pain discovery 265K,PAIN-3
4464,4509,1167788,0.4421155808794326,9.226102811805409e-29,0.04,11.127,0.046857998484506724,0.0028375769615179335,1.0018298266303252,0.0072068659152475815,0.03172790378214281,0.002244211173519705,1.0165518224152559,0.0071529450819874454,0.1185396963145259,0.0047378010875042086,head_pain,Self reported head pain,PAIN-3,Chronic_neck_pain_discovery_265K,Self reported chronic neck pain discovery 265K,PAIN-3
4465,4509,1167788,0.7976166206415958,3.724263188943977e-61,0.048,16.499,0.025120988486179052,0.002148449440937136,1.0190173637145097,0.006541744719763079,0.031727903782142554,0.002316219611438497,1.016551822415257,0.007379354967494336,0.11176672762046738,0.005065194226527459,hip_pain,Self reported hip pain,PAIN-3,Chronic_neck_pain_discovery_265K,Self reported chronic neck pain discovery 265K,PAIN-3
4466,4509,1167788,0.6878966181262237,1.098744116873613e-64,0.041,16.983,0.03930486657269855,0.0024271255111268414,1.0187177618089578,0.007782146110738719,0.0317279037821427,0.0021290442855430238,1.016551822415257,0.007328920178164577,0.10592284321284547,0.005134915798124139,knee_pain,Self reported knee pain,PAIN-3,Chronic_neck_pain_discovery_265K,Self reported chronic neck pain discovery 265K,PAIN-3
4467,4509,1167788,0.6728257090205542,5.0194633464826755e-28,0.061,10.975,0.019760003658096235,0.002234319698333886,1.0134105402629756,0.007374439403124088,0.031727903782142436,0.002300924921532242,1.0165518224152572,0.007074668757458516,0.08832022455420926,0.0049476665852001625,stomach_pain,Self reported stomach pain,PAIN-3,Chronic_neck_pain_discovery_265K,Self reported chronic neck pain discovery 265K,PAIN-3
4507,4509,1168023,0.8318344864900535,5.828794269742808e-68,0.048,17.42,0.02350351020785176,0.0020490889194044962,1.0209932070260013,0.006788993088838019,0.03173045389771775,0.0022652244940915235,1.0165006652665693,0.007085750194087879,0.1924077495811462,0.005361238275546428,Chronic_hip_pain_discovery_265K,Self reported chronic hip pain discovery 265K,PAIN-3,Chronic_neck_pain_discovery_265K,Self reported chronic neck pain discovery 265K,PAIN-3
4508,4509,1168023,0.8746541368621913,5.627640587552802e-140,0.035,25.187,0.04216296374364039,0.002633103308417075,1.0166844252445228,0.006827694312175287,0.03173045389771861,0.0023667403737366796,1.0165006652665654,0.0072459421310493545,0.2790693639633195,0.0050764849105354995,Chronic_back_pain_discovery_2650K,Self reported chronic back pain discovery 265K,PAIN-3,Chronic_neck_pain_discovery_265K,Self reported chronic neck pain discovery 265K,PAIN-3
4461,4510,1167788,0.5611371324329357,3.8078098903880346e-48,0.038,14.579,0.03941019386302316,0.0024107735474080934,1.0242224079833067,0.007779317744726346,0.04329212446420371,0.0027335343310782904,1.005808229966572,0.0071611274156972,0.1105293032464893,0.005309011702413565,back_pain,Self reported back pain,PAIN-3,Chronic_knee_pain_discovery_265K,Self reported chronic knee pain discovery 265K,PAIN-3
4462,4510,1167788,0.5704063070406538,5.79244200183196e-41,0.043,13.403,0.034815843479840264,0.002410240782367254,1.0191642326057397,0.007208108170219118,0.043292124464202636,0.0025531307753241615,1.005808229966576,0.007257213094679593,0.11242061215575816,0.005473049698805133,neck_pain,Self reported neck pain,PAIN-3,Chronic_knee_pain_discovery_265K,Self reported chronic knee pain discovery 265K,PAIN-3
4463,4510,1167788,0.4219658538025346,5.326829141554184e-05,0.104,4.041,0.007216179046462823,0.0019193107590806807,1.0037598059869075,0.006843319263313768,0.043292124464203434,0.0025810316362281046,1.0058082299665732,0.006926324518356815,0.02486154233707845,0.00538653154861359,facial_pain,Self reported facial pain,PAIN-3,Chronic_knee_pain_discovery_265K,Self reported chronic knee pain discovery 265K,PAIN-3
